"year","precip","temp"
1901,-0.3756341,-0.29341024
1902,-0.5858704,-0.43895653
1903,0.13499615,-0.5332871
1904,-0.0874449,-0.59751105
1905,-0.1937442,-0.40779322
1906,0.40586242,-0.31910878
1907,-0.3437443,-0.5040763
1908,-0.0205158,-0.5138197
1909,0.25979936,-0.53568715
1910,0.13184653,-0.5309095
1911,-0.4567365,-0.539079
1912,-0.3268151,-0.47553864
1913,-0.4579176,-0.4670111
1914,-0.4803585,-0.26243657
1915,-0.1063426,-0.19167219
1916,0.6172799,-0.42002314
1917,0.34247655,-0.5428197
1918,-0.462642,-0.4243641
1919,-0.5677601,-0.32528907
1920,-0.2327206,-0.29835507
1921,0.2330277,-0.24044435
1922,-0.168941,-0.3390137
1923,0.10783077,-0.31768188
1924,-0.1248465,-0.3118017
1925,-0.1909883,-0.28214198
1926,0.30664977,-0.122555
1927,0.21176784,-0.2291136
1928,-0.2957128,-0.20646581
1929,-0.4260278,-0.39244303
1930,-0.7024059,-0.17680542
1931,0.09287013,-0.103397675
1932,-0.1260276,-0.14546171
1933,0.4015317,-0.32234442
1934,0.17948435,-0.17433685
1935,0.00783071,-0.20605923
1936,-0.1429568,-0.16952094
1937,-0.0429567,-0.019198947
1938,-0.072878,-0.012200737
1939,0.05192523,-0.040797204
1940,-0.6740594,0.07593582
1941,-0.7618547,0.0381293
1942,-0.1067363,0.0014060677
1943,-0.5004373,0.0064215823
1944,-0.4965003,0.14410514
1945,-0.3142167,0.043088354
1946,-0.4256341,-0.11881461
1947,0.10231895,-0.09120561
1948,-0.2354765,-0.12466127
1949,0.07003547,-0.14380223
1950,0.70035076,-0.2266218
1951,-0.5421696,-0.06115396
1952,-0.3189411,0.015354548
1953,0.21885446,0.07763075
1954,0.5605869,-0.11675023
1955,0.85704374,-0.19730994
1956,1.1255479,-0.26316562
1957,0.08420871,-0.035334915
1958,-0.3209096,-0.017632563
1959,0.21846075,-0.048004813
1960,0.14365757,-0.11545958
1961,0.6031066,-0.019999769
1962,0.03027167,-0.06404272
1963,-0.1567363,-0.036810614
1964,-0.0417756,-0.30586153
1965,-1.0665793,-0.20442048
1966,0.14287016,-0.1488976
1967,-0.0968938,-0.117539294
1968,0.04995672,-0.16864756
1969,-0.0961064,-0.03138624
1970,-0.0705158,-0.08506408
1971,0.03224018,-0.20588905
1972,-0.7724847,-0.09379131
1973,1.3444456,0.04995016
1974,1.1810597,-0.17252657
1975,0.97476035,-0.110754214
1976,-0.1240591,-0.2158369
1977,0.57239795,0.1030885
1978,0.7090122,0.0052559716
1979,0.0405079,0.09085814
1980,-0.2976813,0.19607204
1981,0.3964136,0.25001204
1982,-0.145319,0.034268282
1983,-0.2988624,0.22380984
1984,0.38105926,0.04799352
1985,-0.0965001,0.049729742
1986,-0.424453,0.09568698
1987,-1.3520125,0.2430264
1988,0.6294846,0.2821517
1989,0.41649234,0.1792503
1990,0.04562601,0.36058238
1991,-0.4693349,0.33889654
1992,-1.066973,0.12489683
1993,-0.0842953,0.16570719
1994,-0.0811457,0.23354979
1995,0.04838192,0.37686613
1996,0.49247664,0.27668938
1997,-0.1590985,0.4223085
1998,0.7676736,0.5773417
1999,0.96176827,0.32448497
2000,1.2035006,0.33108476
2001,0.09247643,0.48928034
2002,-0.5764216,0.5434665
2003,-0.2984687,0.54417014
2004,0.2393269,0.46737072
2005,-0.409886,0.6068625
2006,0.6672799,0.5725527
2007,0.48972073,0.5917013
2008,0.9771226,0.46564984
2009,-0.1134292,0.5967816
2010,1.3877528,0.6803714
2011,0.9657053,0.53769773
2012,0.28263402,0.57760704
2013,0.7428705,0.6235753
2014,0.12790953,0.67287165
2015,-0.8382327,0.8251144
2016,0.47987822,0.9329271
2017,0.921217,0.84517425
2018,0.52239794,0.76265407
2019,-0.3539805,0.8910726
2020,-0.2555553,0.9229205
2021,-0.0752402,0.76190555
