"","position","surprise"
"1","diff",3.5
"2","diff",1.375
"3","same",1.25
"4","diff",2.25
"5","same",2
"6","diff",0.625
"7","same",0.75
"8","diff",1
"9","same",0.25
"10","diff",2.5
"11","same",1.625
"12","diff",2.75
"13","diff",2.75
"14","same",2.75
"15","diff",3.25
"16","same",0.25
"17","diff",2.25
"18","diff",0.375
"19","same",0.625
"20","diff",2.875
"21","same",0.25
"22","same",0.375
"23","diff",2.75
"24","diff",0.625
"25","same",0.25
"26","diff",1
"27","same",1.75
"28","diff",0.625
"29","same",0.25
"30","diff",2
"31","same",0.25
"32","same",0.5
"33","diff",1.125
"34","same",1.125
"35","diff",2
"36","same",1.625
"37","diff",0.5
"38","same",0.375
"39","diff",2.125
"40","same",0.25
