"height","mean100","mean200","mean300","mean400","age"
124,150,240,270,380,"6"
118,240,280,330,400,"6"
121,170,370,360,380,"6"
122,160,140,250,390,"6"
116,170,300,360,310,"6"
118,210,230,300,320,"6"
116,240,240,330,300,"6"
127,190,260,290,430,"6"
122,70,60,100,360,"6"
114,310,360,390,380,"6"
119,200,140,210,440,"6"
127,130,200,270,410,"6"
121,170,280,260,310,"6"
120,200,190,280,390,"6"
110,210,240,200,390,"6"
117,250,380,230,290,"6"
121,180,190,360,290,"6"
110,260,250,210,310,"6"
120,140,240,240,300,"6"
