"ID","mean_wii","mean_sid"
1,109.041874567668,212.025472970071
2,108.7693153896,176.341696381293
3,92.4905064900716,142.694437359211
4,90.6567726135254,162.037396515857
5,78.2290108998616,137.845991726913
6,157.990433586968,257.557591806228
7,109.565596686469,146.339715171274
8,126.121504889594,169.719355858352
9,130.391218397352,214.714423950203
10,178.959214952257,287.026464660332
11,148.372913784451,278.436958555546
12,150.071042378743,219.877299562313
13,98.8236589253165,165.137090131438
14,144.987680647108,268.192044438449
15,190.454974772601,357.476228127808
16,279.905210232792,282.355042432511
17,158.390700446235,253.842184049615
18,209.185840633323,223.944507308948
19,117.239124510023,156.341687327492
20,86.7256125219715,139.486066236189
21,108.659526704322,177.730224667456
22,185.818177964952,288.154335624178
23,119.383234447903,143.411127643051
24,208.688673655192,338.546000016963
25,106.076445261637,160.558867849772
26,108.328059302436,168.458778590607
27,96.8231302897135,136.699978842596
28,146.976767222087,238.298930899025
29,88.695807562934,123.176721882492
30,108.604258855184,167.493270533542
