"id","height","mean100","mean200","mean300","mean400","age"
"6YO_S1",124,150,240,270,380,"6"
"6YO_S2",118,240,280,330,400,"6"
"6YO_S3",121,170,370,360,380,"6"
"6YO_S4",122,160,140,250,390,"6"
"6YO_S5",116,170,300,360,310,"6"
"6YO_S6",118,210,230,300,320,"6"
"6YO_S7",116,240,240,330,300,"6"
"6YO_S8",127,190,260,290,430,"6"
"6YO_S9",122,70,60,100,360,"6"
"6YO_S10",114,310,360,390,380,"6"
"6YO_S11",119,200,140,210,440,"6"
"6YO_S12",127,130,200,270,410,"6"
"6YO_S13",121,170,280,260,310,"6"
"6YO_S14",120,200,190,280,390,"6"
"6YO_S15",110,210,240,200,390,"6"
"6YO_S16",117,250,380,230,290,"6"
"6YO_S17",121,180,190,360,290,"6"
"6YO_S18",110,260,250,210,310,"6"
"6YO_S19",120,140,240,240,300,"6"
"8YO_S1",136,190,130,270,370,"8"
"8YO_S2",134,100,160,210,410,"8"
"8YO_S3",136,170,220,370,270,"8"
"8YO_S4",124,370,230,190,320,"8"
"8YO_S5",141,100,190,290,320,"8"
"8YO_S6",120,250,300,280,450,"8"
"8YO_S7",136,250,260,210,350,"8"
"8YO_S8",129,120,270,370,410,"8"
"8YO_S9",137,80,180,140,420,"8"
"8YO_S10",120,180,190,410,330,"8"
"8YO_S11",133,190,190,250,310,"8"
"8YO_S12",127,150,310,180,290,"8"
"8YO_S13",134,160,90,260,370,"8"
"8YO_S14",124,140,140,290,320,"8"
"8YO_S15",135,250,260,190,290,"8"
"8YO_S16",134,260,330,340,350,"8"
"8YO_S17",132,190,300,290,420,"8"
"8YO_S18",123,90,150,260,350,"8"
"8YO_S19",127,190,340,300,400,"8"
"10YO_S1",140,150,210,240,370,"10"
"10YO_S2",134,240,220,130,410,"10"
"10YO_S3",140,140,170,210,390,"10"
"10YO_S4",144,100,180,250,250,"10"
"10YO_S5",151,110,150,270,270,"10"
"10YO_S6",151,180,190,310,430,"10"
"10YO_S7",136,200,330,200,380,"10"
"10YO_S8",147,340,200,290,210,"10"
"10YO_S9",142,100,210,160,380,"10"
"10YO_S10",134,120,100,220,340,"10"
"10YO_S11",137,80,120,150,400,"10"
"10YO_S12",144,130,130,130,290,"10"
"10YO_S13",136,140,170,160,310,"10"
"10YO_S14",143,230,190,280,230,"10"
"10YO_S15",139,190,210,210,380,"10"
"10YO_S16",143,190,210,300,410,"10"
"10YO_S17",142,80,100,130,340,"10"
"10YO_S18",147,120,210,200,400,"10"
"10YO_S19",148,180,210,260,390,"10"
"10YO_S20",139,160,200,220,340,"10"
"10YO_S21",147,120,160,310,370,"10"
"10YO_S22",130,100,170,230,370,"10"
"Adult_S2",178,125,162.5,225,350,"adult"
"Adult_S3",175,100,175,212.5,381.25,"adult"
"Adult_S4",160,100,168.75,250,356.25,"adult"
"Adult_S5",175,156.25,187.5,281.25,387.5,"adult"
"Adult_S6",178,118.75,268.75,300,425,"adult"
"Adult_S7",164,68.75,125,162.5,412.5,"adult"
"Adult_S8",167,150,187.5,337.5,418.75,"adult"
"Adult_S9",185,187.5,187.5,256.25,387.5,"adult"
"Adult_S10",170,212.5,218.75,331.25,362.5,"adult"
"Adult_S11",171,200,281.25,350,337.5,"adult"
"Adult_S12",171,200,187.5,318.75,375,"adult"
"Adult_S13",169,150,250,350,393.75,"adult"
"Adult_S14",180,131.25,168.75,243.75,325,"adult"
"Adult_S15",170,137.5,243.75,350,375,"adult"
"Adult_S16",178,237.5,256.25,268.75,375,"adult"
"Adult_S17",173,175,200,368.75,368.75,"adult"
"Adult_S18",182,125,250,331.25,387.5,"adult"
"Adult_S19",165,87.5,143.75,306.25,262.5,"adult"
"Adult_S20",160,162.5,250,331.25,437.5,"adult"
"Adult_S21",170,118.75,206.25,287.5,362.5,"adult"
